Date,Age,Life Event,
09/23/1956,0,"Born to James and Geneveive Dugan, in Nashua, New Hampshire",
1967,11,"Family moved to village of Lisle in DuPage County, Illinois.",
01/32/1972,15,"Arrested for burglary and put under court supervision.",
1972,?,"Family moved to Batavia, a Chicago suburb on the border or DuPage and Kane Counties.",
,,Enrolled in high school.,Enrolled in high school.,
,,Made ward of Kane County court,Made ward of Kane County court,
,,Juvenile complaint for trespassing and also suspected of a home burglary. Kane County court sent him to Kane County Youth Home in Batavia,Juvenile complaint for trespassing and also suspected of a home burglary. Kane County court sent him to Kane County Youth Home in Batavia,
,,"Family moved to east side of Aurora, IL.","Family moved to east side of Aurora, IL.",
12/15/1972,16,"Released from a youth home. Three days later he and a friend robbed a Kentucky Fried Chicken of over $4,000. The two then went to Iowa and committed burglaries in Dubuque County.","Released from a youth home. Three days later he and a friend robbed a Kentucky Fried Chicken of over $4,000. The two then went to Iowa and committed burglaries in Dubuque County.",
12/28/1972,16,Police arrested Brian and his friend. They both confessed,Police arrested Brian and his friend. They both confessed,
02/19/1973,16,K.D Waldo Middle school Break in. Brian confessed to the burglary,K.D Waldo Middle school Break in. Brian confessed to the burglary,
04/12/1973,16,Brian quit school.,Brian quit school.,
04/?/1974,16,Committed break in at the Twirly-Top. Also attacked young girl in Lisle.,Committed break in at the Twirly-Top. Also attacked young girl in Lisle.,
,,"Arrested two times in Aurora, first for gasoline theft then for burglary.  The gasoline theft complaint was dropped due to the fact the witness was a no show.  Probation was given to Brian in result of the home burglary.","Arrested two times in Aurora, first for gasoline theft then for burglary.  The gasoline theft complaint was dropped due to the fact the witness was a no show.  Probation was given to Brian in result of the home burglary.",
08/04/1974,17,"Arrested while sniffing paint and resisted arrest by kicking off officers. Charges for this included resisting an officer, criminal damage to property, aggravated battery and unlawful use of an intoxicating substance.","Arrested while sniffing paint and resisted arrest by kicking off officers. Charges for this included resisting an officer, criminal damage to property, aggravated battery and unlawful use of an intoxicating substance.",
,,"Fled to California before doing time for the previous charges.  There, Brian and his friend served 30 days in jail for petty theft, possession of fireworks and narcotics paraphernalia, and possession of  cannabis.","Fled to California before doing time for the previous charges.  There, Brian and his friend served 30 days in jail for petty theft, possession of fireworks and narcotics paraphernalia, and possession of  cannabis.",
,,"After they were released Brian and his friend were arrested again for 
possession of Valium and marijuana, as well as for disorderly conduct.  Brian was not charged because he used a fake name","After they were released Brian and his friend were arrested again for 
possession of Valium and marijuana, as well as for disorderly conduct.  Brian was not charged because he used a fake name",
,,,,
Early 1975,18,Returned to Illinois,,
,,Attacked his sister and spent a few days in jail.,,
,,Arrested for bringing hunting knife in hospital,,
,,Lived with sister Hilary in DuPage County town of  Villa Park,,
,,Set fire to elementary school,,
,,Threatened sister Hilary and her child.  Brian also kicked out her headlights to her car.,,
03/05/1976,19,Arrested for the elementary school arson.,,
,,"Brian pleaded guilty to the fire to the school but the other charges (burglary, battery, assault and criminal damage to property) were dropped. He received a sentence of one to three years but served less than seven months.",,
01/30/1977,21,Brian broke into two churches in Aurora,,
,,Brian pleaded guilty to the two church burglaries and did six months in jail when the actual sentence was two to six years.,,
09/19/1977,21,Brian was paroled,,
09/30/1978,22,Broke into same high school he broke into in 1975- case was a year long,,
