Date,Age,Life Event,
"1930’s",0,"Older Brother Stephan was abducted and cannibalized by town people.",
10/16/1936,0,"Born in Yablochnoye Ukraine with water on the brain.",
1941,5,"Mother told him about his brother.",
"1942-1943",7,"Father left to fight in the war.",
"1947-1948",11-12,"Was at the height of the famine. He and his sister would eat grass and leaves.",
1948,12,"Ate bread for the first time.",
1949,13,"Would pray to have his father back from war; when his father came back later that year, he was sick with tuberculosis and would spit up blood and would moan and lay on the bed",
1950,14,"Tried to be better than all his classmates. Participated in literary and musical events and became editor of the schools newspaper.",
1951,15,"Completed 7th grade",
1952,16,"Went to work at a brick factory in the summer time, had part of a wall fall on him",
1953,17,"Cried when Stalin died, wanted to go to Moscow and believed that communism would soon conquer the world; That summer he worked on the farm and was using a horse-drawn rake for harvesting and it fell on him",
1954,18,"Finished the 10th grade; he applied for Moscow University to study law, failed his entry exam and wasn’t accepted into the University- he was convinced that he didn’t get in because of his fathers war record",
1960,24,"Worked at a telephone engineer",
1963,27,"Met and married his wife Fayina (3 years younger than him)",
1965,29,"Had his first child; Lyudmilla",
1969,33,"Has his second and last child son Yuri",
1971,35,"Enrolled in a Rostov Liberal Arts University, got a degree in literature and philology when he graduated he became a teacher",
4/1973,37,"Tried to rape; didn’t get punished for it. Anna-one of his students, asked her to stay after school and then continued to beat her with ruler; all the while getting aroused, ejaculated in his pants",
1/1974,38,"Gets 'let go' from  teaching job",
4/1978,41,"Chikatilo meets Tanya Petrosyan and they become lovers. Their relationship is short due to Chikatilo’s impotence. Both were married and neither spouse found out.",
9/1978,41,"Got laid off again, found new job as a warden at a school, his wife wanted to keep tabs on him and so she also got hired on staff to watch over him",
12/22/1978,42,"Killed his first victim. Lena Zakotnova 9 year old girl; lured her into the second house, raped and strangled her, he stabbed her 3 times in the stomach and then he threw her in a frozen stream. Later the police had him in custody as a suspect but then another guy was tried and convicted for the crime. Molested 3 six year old girls",
9/3/1981,45,"Larisa Tkachenko- 17 years old; filled her mouth with dirt, strangled her and bit off and ate her nipple",
6/12/1982,46,"Lyuba Biryuk- 13 years old; stabbed her repeatedly and wounded her eyes, killed her and then rapped the corpse and then threw her and stuff into the woods.",
7/25/1982,46,"Lyuba Volobuyeva, 14, savagely killed during Chikatilo’s business trip to the southern region of Krasnodar",
8/13/1982,46,"Oleg Pozhidayev, 9, brutality murdered on another business trip",
8/16/1982,46,"Olya Kuprina, 16, brutality murdered back in the Rostov region",
9/1982,46,"Ira Karabelnikova and Sergei Kuzmin, within 9 days and a mile of each other, found stabbed to death",
12/11/1982,47,"Olya Stalmachenok, 10, found brutality tortured and murdered",
6/1983,47,"Laura Sarkisyan, 15, murdered, but body was never found; Police learned of this case through Chikatilo’s confessions",
7/1983,47,"Ira Dunenkova, 13, found stabbed to death in Aviators’ Park; This murder stands out because he knew her and she had even been to his house. Her older sister was one whom Chikatilo had past sexual relations with and would sometimes bring alone Ira. Lyuda Kutsyuba, 24, a tramp, was killed near a small railway stop just outside Shakhti. She wasn’t found till 9 months later.",
8/1983,47,"Igor Gudkov, 7, found slaughtered in Aviators’ Park and Valya Chuchulina, 22, brutality stabbed in late summer",
10/27/1983,48,"Vera Shevkun, 19, prostitute killed on the edge of Shakhti",
12/27/1983,48,"Sergei Markov, 14, school boy murdered on a piece of wasteland about a mile north of the nearby town of Novorherkassk.",
1/10/1984,48,"Natalya Shalapinina, 17, tramp and an alcoholic, murdered in Aviators’ Park and in terrible condition. Her body was covered in stab wounds and nose and upper lip had been cut off – as had one of the fingers of her left hand.",
2/22/1984,48,"Formal charges were made against Chikatilo for theft of state property. It was suggested in no uncertain terms to him that it would be a good idea if he found himself a new job. Marta Ryabyenko, 44, was found brutality murdered; She was a tramp seeking oblivion in sex and alcohol.",
2/27/1984,48,"Police arrest a man not far from the scene of the crime who is slightly mentally slow. He was charged with the two killings and he confessed, but late withdrew his claim insisting that it has been obtained under duress. But it was too late. He was already in jail. Later on he killed by firing squad.",
3/27/1984,48,"Ptashniko, 10, He was found stabbed to death with over 54 stab wounds.",
5/1984,48,"Tanya Petrosyan and Chikatilo randomly see each other by chance and go on a picnic together with Tanya’s daughter, Sveta. Tanya mocks Chikatilo when he cannot get an erection and stabbed Tanya hard in the side of the head and then began hitting her with a hammer. Chikatilo then runs after Tanya’s young daughter and stabs her in the head as well and then hammered her to death and then severed her head off.",
5-6/1984,48,"Yelena Bakulina, 22, Anna Lemesheva, 19, and Dima Illarionov, 13, all found murdered that spring. Fayina; Chikatilo’s wife, makes him seek psychiatric help for what she believed was his lack of sexual drive.",
