Date,Year,Age,Life Event,Life Event
,1876,,"Ed, father George Gein was born","Ed, father George Gein was born"
,1900,,Ed’s father (George) and mother (Augusta) were married.,Ed’s father (George) and mother (Augusta) were married.
January 17,1902,,Ed’s older brother Henry was born,Ed’s older brother Henry was born
February,1902,,Ed’s father is out of work,Ed’s father is out of work
August 27,1906,0,"Edward Theodore Gein (Ed) was born to Augusta and George Gein in La Crosse, Wisconsin. A growth on his left eyelid caused Ed to have a “lazy” eye. Ed was the younger of two sons. The first born, Henry, was 5 years older.","Edward Theodore Gein (Ed) was born to Augusta and George Gein in La Crosse, Wisconsin. A growth on his left eyelid caused Ed to have a “lazy” eye. Ed was the younger of two sons. The first born, Henry, was 5 years older."
,1906,0,"George Gein was an abusive alcoholic who worked periodically as a carpenter, a tanner, and a farmer. Augusta was a fanatically religious woman.","George Gein was an abusive alcoholic who worked periodically as a carpenter, a tanner, and a farmer. Augusta was a fanatically religious woman."
,1906,0,"Augusta supported the family through a successful grocery business. She despised George, felt he was worthless, and gave him no part in raising the two boys.","Augusta supported the family through a successful grocery business. She despised George, felt he was worthless, and gave him no part in raising the two boys."
,1913,7,Ed witnesses his parents slaughter a hog in the shed behind the family store. Ed experienced an ejaculation upon viewing this.,Ed witnesses his parents slaughter a hog in the shed behind the family store. Ed experienced an ejaculation upon viewing this.
,,,,
,1914,8,"The Geins moved to Plainfield, Wisconsin, to a 195 acre farm because Augusta wanted to move away from the immorality of the city and the sinners that inhabited it. The closest neighbors were almost a mile away.",
,1914,8,"Ed and Henry began school at Roche-a-Cri grade school, a tiny one-room building with 12 students. Ed was average at school, but an excellent reader. Ed was shunned and isolated at school because of his lazy eye and his shyness. He also had a lesion on his tongue that caused him to speak a bit weird. Augusta severely punished Ed when he did attempt to make friends. Augusta verbally abused both boys, believing they were destined to 
become failures like their father.  Ed would come home crying from kids making fun of him and his alcoholic father would repeatedly beat him in the head till his ears started ringing.",
,1918,12,Ed was caught by his mother masturbating in the bathtub.  She grabbed his genitals and called them the “curse of man”.,
,1920,14,Ed graduated the eighth grade and then dropped out of school. He continued to be an avid reader though.,
,1927,21,Augusta made both her sons promise to always remain virgins.,
,1937,31,"George, Ed’s father, became a helpless invalid and was 
completely dependent on his family that feared and hated him. George was no help on the farm and drank away much of the family earnings.",
April 1,1940,34,"George died of pneumonic fluid on the lungs at age 66. Augusta attributed his death to his weakness and referred often to him going to hell. Ed and Henry, 39, began to take on odd jobs to help support the family, mostly as handymen. Ed was often employed as a babysitter. He loved the company of children because they were easier to relate to. Both Ed and Henry were considered trustworthy and reliable by the town’s people.",
,1942,36,"Ed was still eligible for the draft and had to travel to Milwaukee for a physical exam. He was rejected due to the growth on his left eyelid, which slightly impaired his vision. This was the farthest from home he had ever been and the only time in his life he would travel so far.",
,1944,38,"Henry, not sharing Ed’s worship of their mother, began to openly criticize her. Henry was worried about what he perceived to be Ed’s unhealthy attachment to her. This criticism shocked and mortified Ed.",
May 16,1944,38,"Henry died a sudden death under mysterious circumstances at the age of 43, while he and Ed were fighting a runaway fire on the marshland near their home. Ed reported that he had been unable to locate Henry, but then led police directly to where he lay. Apparent cause of death was not consistent with injuries from fire, Henry’s body had not been touched by the fire and his head",
,,,,
,,,was badly bruised.,
May 18,1944,38,"The county corner listed Henry’s cause of death as asphyxiation. The police dismissed the notion of foul play. They did not 
believe Ed was capable of killing someone.",
,(Late) 1944,38,Augusta became faint and sickly not long after Henry’s death and had to be hospitalized. Augusta had suffered her first stroke.,
,1945,39,"Augusta became worried about Ed’s reading, which included head shrinking, grave robbing, and many books on human anatomy.",
December 29,1945,39,"Augusta died of complications from a second stroke at age 67. Ed reacted by boarding up his mother’s bedroom and sitting room to be preserved, museum style, as they had been when she was alive.",
,(Early) 1946,40,"Ed’s already unkempt appearance degrades further, neighbors comment on how bad ha smells. Ed continued to live on the farm and live off meager earnings form odd jobs. Ed then boarded up all but two rooms in the house. They were never reopened again until his arrest.",
,1947,41,"Eighteen months after Augusta died, Ed, driven by intense loneliness and what he later said to be strange visions, began to visit the cemetery were his mother was buried. After several visits, he began to dig up corpses. The first body he dug up was that of his mother. Twisting her head off with his bare hands, Ed took the head and shrunk it similar to the way his book spoke of.",
May 1,1947,41,"8-year-old, Georgia Weckler disappeared without a trace, leaving no suspects and the only clue found was tire tracks of a ford.",
