Date,Age,Life Event,Life Event,,
"August 
27, 1964",0,"Paul was born to Kenneth and Marilyn Bernardo, as a result of her affair with a former boyfriend, in Scarborough Canada. He was the last of three children","Paul was born to Kenneth and Marilyn Bernardo, as a result of her affair with a former boyfriend, in Scarborough Canada. He was the last of three children",,
"May 4, 1970",5,Karla Homolka was born to Karel and Dorothy Homolka. She was the first of three children,Karla Homolka was born to Karel and Dorothy Homolka. She was the first of three children,,
May 1971,6,Bernardo’s mother locates her blood sisters and begins to visit with them on weekends leaving Bernardo and his siblings unsupervised,Bernardo’s mother locates her blood sisters and begins to visit with them on weekends leaving Bernardo and his siblings unsupervised,,
May 1975,10,"Bernardo becomes close friends with two neighborhood boys, Van and Steve. They are always together and all members of the boy scouts where Bernardo receives the chief scout award. The boys begin to start fires using magnifying glasses and twigs/kindling","Bernardo becomes close friends with two neighborhood boys, Van and Steve. They are always together and all members of the boy scouts where Bernardo receives the chief scout award. The boys begin to start fires using magnifying glasses and twigs/kindling",,
May 1977,12,Paul gets his first job working in a restaurant that is owned by a friend of his father,Paul gets his first job working in a restaurant that is owned by a friend of his father,,
May 1979,14,"Paul began high school and was doing well, but his parents never thought that anything was good enough.","Paul began high school and was doing well, but his parents never thought that anything was good enough.",,
June 1980,15,"Paul meets his first love, Nadine Brammer, an attractive blonde, to whom he lost his virginity. She said that Paul was very controlling and over protective. 
Paul’s mother reveals that Kenneth was not his real father. After this Paul referred to his mother as a slut and whore and she began to call him a bastard.","Paul meets his first love, Nadine Brammer, an attractive blonde, to whom he lost his virginity. She said that Paul was very controlling and over protective. 
Paul’s mother reveals that Kenneth was not his real father. After this Paul referred to his mother as a slut and whore and she began to call him a bastard.",,
Spring 1981,16,Nadine breaks off the relationship with Paul due to her involvement with his good friend Steve. After this Paul is enraged and starts fire to all of the things that Nadine,Nadine breaks off the relationship with Paul due to her involvement with his good friend Steve. After this Paul is enraged and starts fire to all of the things that Nadine,,
,,,,,
,,had given him,,,
June 1982,17,Paul graduates from Sir Wilfred Lauier High School. Paul begins going to bars where he lies to women in order to have sex with them.,,,
Fall 1983,19,"Paul enrolls at the University of Toronto, Scarborough campus. Paul begins talking with his friend Van about his “Virgin Farm Fantasy” in which Paul would have stockpile of women that wanted to have sex with him.",,,
1984,19-20,"Paul dates many women but the relationships usually lasted no more than a month. If any of the women told about what he had done to them, he threatened to kill them.",,,
1985,20-21,"Paul's father is discovered to be a Peeping Tom in his neighborhood. 
Paul’s lifestyle begins to change along with his attitude toward women.  Due to his abusive nature and strange sexual preferences, all of his girlfriends end up leaving him.",,,
Summer 1986,21,"Bernardo has a retraining order issued against him for making obscene phone calls to his friend Van’s ex-girlfriend. Bernardo still remains in a relationship with Carol, although engaging in several one night stands. 
Bernardo graduates from the University of Toronto and accepts a job as a junior accountant at Price Waterhouse in Toronto. 
Paul starts to see a woman named Suzie while he is still with Carol. He is so controlling that, even after they find out about each other, they both remain with him. 
Carol takes out a restraining order against Paul for obscene phone calls",,,
1987,22,"Paul graduates from college and gets a job as a junior accountant for the accounting firm Price Waterhouse.  After dating Jennifer Thompson who threatened to go to the police, his dating starts to slow down.",,,
May 4 1987,22,"Paul commits 1st rape, age 21, at a bus stop",,,
"May 14, 1987",22,"Paul commits 2nd rape, age 19 , in front of her house",,,
"July 27, 1987",22,"Paul attempts 3rd rape, young woman at a bus stop",,,
October 1987,23,"Bernardo and Van meet Karla Homolka and Debbie Purdie, in a Howard Johnson Hotel. The night that they meet they have sex and Paul gets her phone number and address which is unlike Paul for a one night stand.",,,
